Country,Year,Government Expenditure On Education (%)
BGR,1996,2.23008
BGR,1998,2.73943
BGR,2001,3.38424
BGR,2002,3.38608
BGR,2003,3.99845
BGR,2004,2.31995
BGR,2005,4.1088
BGR,2006,3.90346
BGR,2007,3.68264
BGR,2008,4.22238
BGR,2009,4.27429
BGR,2010,3.85797
BGR,2011,3.54698
BGR,2012,3.47637
BGR,2013,4.05823
BGR,2014,4.082929
BGR,2015,3.921795
BGR,2016,3.40331
BGR,2017,4.07527
BGR,2018,4.0453
BGR,2019,4.19718
BGR,2020,4.04
BFA,1978,1.67983
BFA,1980,1.9618
BFA,1983,1.75448
BFA,1985,1.76396
BFA,1988,1.42608
BFA,1994,3.4511
BFA,1996,1.44026
BFA,2005,3.94114
BFA,2006,3.98219
BFA,2007,4.07983
BFA,2010,3.50223
BFA,2011,3.98515
BFA,2012,3.60316
BFA,2013,4.08344
BFA,2014,4.0533
BFA,2015,3.67009
BFA,2017,5.62847
BFA,2018,5.48861
BFA,2019,5.69685
BFA,2020,5.51908
BDI,1979,2.80336
BDI,1981,3.34676
BDI,1990,3.35933
BDI,1991,3.49366
BDI,1992,3.80585
BDI,1994,4.56527
BDI,1995,5.01511
BDI,1996,4.08324
BDI,1999,3.41745
BDI,2000,2.64548
BDI,2001,2.90391
BDI,2002,3.00493
BDI,2004,3.74496
BDI,2005,3.63216
BDI,2008,5.1929
BDI,2009,6.17195
BDI,2010,6.77525
BDI,2011,6.31925
BDI,2012,6.16786
BDI,2013,5.99536
BDI,2014,6.78452
BDI,2015,6.37054
BDI,2016,4.692
BDI,2017,4.76202
BDI,2018,5.07865
BDI,2019,5.34668
BDI,2020,5.04098
KHM,1998,1.25907
KHM,2000,1.66681
KHM,2001,1.72222
KHM,2002,1.71121
KHM,2004,1.71982
KHM,2007,1.5993
KHM,2009,1.66568
KHM,2010,1.53379
KHM,2011,1.51069
KHM,2012,1.6183978
KHM,2013,1.6470642
KHM,2014,1.674574
KHM,2015,1.9250356
KHM,2016,2.0642474
KHM,2017,2.3161519
KHM,2018,2.5780594
KHM,2019,2.8966298
KHM,2020,3.1263065
CMR,1971,3.07987
CMR,1972,3.36389
CMR,1982,2.98497
CMR,1983,3.49689
CMR,1984,3.24637
CMR,1986,2.84834
CMR,1987,2.93091
CMR,1988,2.71473
CMR,1989,2.64896
CMR,1990,3.2871
CMR,1991,3.22023
CMR,1992,2.751
CMR,2000,1.70285
CMR,2001,2.29734
CMR,2003,2.82259
CMR,2004,2.7953
CMR,2005,2.65652
CMR,2006,2.53991
CMR,2007,2.87816
CMR,2008,2.49827
CMR,2009,2.9079
CMR,2010,2.84803
CMR,2011,2.65337
CMR,2012,2.60306
CMR,2013,2.65548
CMR,2014,2.58396
CMR,2015,2.65792
CMR,2016,2.56234
CMR,2017,3.05963
CMR,2018,3.03096
CMR,2019,3.08088
CMR,2020,3.16616
CAN,1960,4.6
CAN,1971,7.71019
CAN,1972,7.61541
CAN,1973,7.0375
CAN,1974,6.68963
CAN,1975,6.44295
CAN,1976,6.72099
CAN,1977,6.73353
CAN,1978,7.09767
CAN,1979,6.71475
CAN,1980,6.48467
CAN,1981,6.43061
CAN,1982,6.51914
CAN,1983,6.88043
CAN,1984,6.64404
CAN,1985,6.21287
CAN,1986,6.04419
CAN,1987,6.32446
CAN,1988,6.17615
CAN,1989,6.09832
CAN,1990,5.99199
CAN,1991,6.8843
CAN,1992,6.77094
CAN,1993,7.70426
CAN,1994,6.68002
CAN,1995,6.32445
CAN,1998,5.49377
CAN,1999,5.5308
CAN,2000,5.42332
CAN,2001,4.95303
CAN,2002,4.99308
CAN,2005,4.76588
CAN,2007,4.76641
CAN,2008,4.62612
CAN,2009,4.84058
CAN,2010,5.35637
CAN,2011,5.26205
CAN,2012,4.6925874
CAN,2013,4.58901
CAN,2014,4.84359
CAN,2015,4.73938
CAN,2016,4.81642
CAN,2017,4.95997
CAN,2018,4.88898
CAN,2019,4.77293
CAN,2020,5.17
CPV,1998,6.39177
