Country,Year,Government Spending Teritary (% GDP)
CRI,2005,..
CZE,2005,0.8
DNK,2005,2.3
EST,2005,0.9
FIN,2005,1.9
FRA,2005,..
DEU,2005,..
GRC,2005,1.4
HUN,2005,1.0
ISL,2005,1.4
IRL,2005,1.1
ISR,2005,1.0
ITA,2005,0.7
JPN,2005,0.6
KOR,2005,..
LTU,2005,1.0
LUX,2005,..
MEX,2005,0.8
NLD,2005,..
NZL,2005,..
NOR,2005,2.2
POL,2005,1.2
PRT,2005,0.9
SVK,2005,0.8
SVN,2005,1.2
ESP,2005,0.9
SWE,2005,1.8
CHE,2005,1.4
TUR,2005,..
GBR,2005,1.1
USA,2005,..
LVA,2005,..
,2005,
AUS,2006,1.0
AUT,2006,1.4
BEL,2006,..
CAN,2006,..
CHL,2006,0.4
COL,2006,..
CRI,2006,1.0
CZE,2006,1.1
DNK,2006,2.2
EST,2006,..
FIN,2006,1.9
FRA,2006,..
DEU,2006,1.1
GRC,2006,..
HUN,2006,1.0
ISL,2006,1.3
IRL,2006,1.1
ISR,2006,0.9
ITA,2006,0.8
JPN,2006,0.6
KOR,2006,..
LTU,2006,1.0
LUX,2006,..
MEX,2006,0.8
NLD,2006,..
NZL,2006,..
NOR,2006,2.0
POL,2006,1.0
PRT,2006,0.9
SVK,2006,0.9
SVN,2006,1.2
ESP,2006,0.9
SWE,2006,1.7
CHE,2006,1.3
TUR,2006,0.9
GBR,2006,1.0
USA,2006,..
LVA,2006,0.8
,2006,
AUS,2007,1.0
AUT,2007,1.4
BEL,2007,..
CAN,2007,1.8
CHL,2007,0.5
COL,2007,..
CRI,2007,1.0
CZE,2007,1.0
DNK,2007,2.2
EST,2007,1.0
FIN,2007,1.8
FRA,2007,..
DEU,2007,1.1
GRC,2007,..
HUN,2007,1.0
ISL,2007,1.3
IRL,2007,1.1
ISR,2007,1.0
ITA,2007,0.7
JPN,2007,0.6
KOR,2007,..
LTU,2007,1.0
LUX,2007,..
MEX,2007,0.9
NLD,2007,..
NZL,2007,..
NOR,2007,2.1
POL,2007,0.9
PRT,2007,1.1
SVK,2007,0.8
SVN,2007,1.2
ESP,2007,1.0
SWE,2007,1.6
CHE,2007,1.2
TUR,2007,..
GBR,2007,0.9
USA,2007,..
LVA,2007,0.9
,2007,
AUS,2008,1.0
AUT,2008,1.4
BEL,2008,1.3
CAN,2008,1.6
CHL,2008,0.6
COL,2008,0.9
CRI,2008,1.0
CZE,2008,0.9
DNK,2008,2.1
EST,2008,1.1
FIN,2008,1.8
FRA,2008,..
DEU,2008,1.2
GRC,2008,..
HUN,2008,1.0
ISL,2008,1.4
IRL,2008,1.3
ISR,2008,0.9
ITA,2008,0.8
JPN,2008,0.6
KOR,2008,..
LTU,2008,1.0
LUX,2008,..
MEX,2008,0.9
NLD,2008,..
NZL,2008,..
NOR,2008,2.0
POL,2008,1.0
PRT,2008,0.9
SVK,2008,0.8
SVN,2008,1.2
ESP,2008,1.0
SWE,2008,1.7
CHE,2008,1.2
TUR,2008,..
GBR,2008,0.8
USA,2008,..
LVA,2008,0.9
,2008,
AUS,2009,1.1
AUT,2009,1.5
BEL,2009,1.4
CAN,2009,1.8
CHL,2009,0.7
COL,2009,0.9
CRI,2009,1.1
CZE,2009,1.0
DNK,2009,2.3
EST,2009,1.3
FIN,2009,2.1
FRA,2009,..
DEU,2009,1.3
GRC,2009,..
HUN,2009,1.1
ISL,2009,1.5
IRL,2009,1.5
ISR,2009,1.0
ITA,2009,0.8
JPN,2009,..
KOR,2009,..
LTU,2009,1.1
LUX,2009,..
MEX,2009,1.0
NLD,2009,..
NZL,2009,..
NOR,2009,2.2
POL,2009,1.0
PRT,2009,1.0
SVK,2009,0.8
SVN,2009,1.3
ESP,2009,1.1
SWE,2009,1.9
CHE,2009,1.3
TUR,2009,..
GBR,2009,0.7
USA,2009,..
LVA,2009,0.8
,2009,
AUS,2010,1.2
AUT,2010,1.6
BEL,2010,1.4
CAN,2010,1.9
CHL,2010,0.9
COL,2010,1.1
CRI,2010,1.2
CZE,2010,0.9
DNK,2010,2.3
EST,2010,1.2
FIN,2010,2.1
FRA,2010,..
DEU,2010,1.3
GRC,2010,..
HUN,2010,1.0
ISL,2010,1.5
IRL,2010,1.3
ISR,2010,0.9
ITA,2010,0.8
JPN,2010,0.7
KOR,2010,..
LTU,2010,1.3
LUX,2010,..
MEX,2010,1.0
NLD,2010,..
NZL,2010,..
NOR,2010,2.0
POL,2010,1.2
PRT,2010,1.1
SVK,2010,0.8
SVN,2010,1.3
ESP,2010,1.1
SWE,2010,1.9
CHE,2010,1.2
TUR,2010,..
GBR,2010,0.9
USA,2010,..
LVA,2010,0.8
,2010,
AUS,2011,1.2
AUT,2011,1.5
BEL,2011,1.4
CAN,2011,1.9
CHL,2011,0.9
COL,2011,0.9
CRI,2011,1.3
CZE,2011,1.1
DNK,2011,2.4
EST,2011,1.2
FIN,2011,2.1
FRA,2011,..
DEU,2011,1.4
GRC,2011,..
HUN,2011,1.1
ISL,2011,1.3
IRL,2011,1.3
ISR,2011,0.9
ITA,2011,0.8
JPN,2011,0.7
KOR,2011,..
LTU,2011,1.5
LUX,2011,..
MEX,2011,0.9
NLD,2011,..
NZL,2011,..
NOR,2011,1.9
POL,2011,1.1
PRT,2011,1.0
SVK,2011,0.9
SVN,2011,1.3
ESP,2011,1.1
SWE,2011,1.9
CHE,2011,1.3
TUR,2011,..
GBR,2011,1.2
USA,2011,..
LVA,2011,1.0
,2011,
AUS,2012,1.2
AUT,2012,1.8
BEL,2012,..
CAN,2012,..
CHL,2012,1.0
COL,2012,1.0
CRI,2012,1.3
CZE,2012,1.0
DNK,2012,2.2
EST,2012,1.0
FIN,2012,2.0
FRA,2012,..
DEU,2012,1.3
GRC,2012,..
HUN,2012,0.8
ISL,2012,1.5
IRL,2012,1.2
ISR,2012,0.9
ITA,2012,0.8
JPN,2012,0.7
KOR,2012,..
LTU,2012,1.4
LUX,2012,0.0
MEX,2012,1.0
NLD,2012,..
NZL,2012,..
NOR,2012,..
POL,2012,1.1
PRT,2012,..
SVK,2012,0.9
SVN,2012,1.2
ESP,2012,1.0
SWE,2012,1.9
CHE,2012,1.3
TUR,2012,..
GBR,2012,..
USA,2012,..
LVA,2012,1.4
,2012,
AUS,2013,1.4
AUT,2013,1.8
BEL,2013,1.4
CAN,2013,1.3
CHL,2013,1.2
COL,2013,0.9
CRI,2013,1.4
CZE,2013,0.9
DNK,2013,2.3
EST,2013,1.4
FIN,2013,2.0
FRA,2013,..
DEU,2013,1.3
GRC,2013,..
HUN,2013,0.9
ISL,2013,1.5
IRL,2013,1.1
ISR,2013,0.9
ITA,2013,0.8
JPN,2013,0.7
KOR,2013,..
LTU,2013,1.3
LUX,2013,..
MEX,2013,1.0
NLD,2013,..
NZL,2013,1.7
NOR,2013,2.0
POL,2013,1.2
PRT,2013,0.9
SVK,2013,1.0
SVN,2013,1.1
ESP,2013,1.0
SWE,2013,1.9
CHE,2013,1.3
TUR,2013,..
GBR,2013,1.3
USA,2013,1.3
LVA,2013,1.4
,2013,
AUS,2014,1.4
AUT,2014,1.8
BEL,2014,1.5
CAN,2014,1.7
CHL,2014,1.2
COL,2014,1.0
CRI,2014,1.5
CZE,2014,0.8
DNK,2014,2.3
EST,2014,1.4
FIN,2014,2.0
FRA,2014,..
DEU,2014,1.3
GRC,2014,..
HUN,2014,0.8
ISL,2014,1.4
IRL,2014,1.0
ISR,2014,0.9
ITA,2014,0.8
JPN,2014,0.7
KOR,2014,..
LTU,2014,1.3
LUX,2014,0.5
MEX,2014,1.1
NLD,2014,..
NZL,2014,1.6
NOR,2014,2.2
POL,2014,1.2
PRT,2014,0.9
SVK,2014,1.0
SVN,2014,1.0
ESP,2014,1.0
SWE,2014,1.9
CHE,2014,1.3
TUR,2014,..
GBR,2014,1.4
USA,2014,1.4
LVA,2014,1.1
,2014,
AUS,2015,1.5
AUT,2015,1.8
BEL,2015,1.4
CAN,2015,1.6
CHL,2015,1.3
COL,2015,1.0
CRI,2015,1.6
CZE,2015,0.8
DNK,2015,..
EST,2015,1.4
FIN,2015,1.9
FRA,2015,..
DEU,2015,1.3
