Country,Year,Government Spending Teritary (% GDP)
CAN,1995,2.2
CHL,1995,0.5
COL,1995,..
CRI,1995,1.1
CZE,1995,0.7
DNK,1995,1.8
EST,1995,1.0
FIN,1995,1.9
FRA,1995,1.0
DEU,1995,1.0
GRC,1995,..
HUN,1995,0.9
ISL,1995,0.9
IRL,1995,1.1
ISR,1995,..
ITA,1995,0.7
JPN,1995,0.4
KOR,1995,0.2
LTU,1995,0.9
LUX,1995,0.2
MEX,1995,0.7
NLD,1995,1.4
NZL,1995,1.6
NOR,1995,2.1
POL,1995,0.6
PRT,1995,0.9
SVK,1995,0.7
SVN,1995,0.8
ESP,1995,0.8
SWE,1995,1.6
CHE,1995,1.0
TUR,1995,0.8
GBR,1995,1.1
USA,1995,..
LVA,1995,..
,1995,
AUS,1996,1.6
AUT,1996,1.1
BEL,1996,0.7
CAN,1996,..
CHL,1996,0.5
COL,1996,..
CRI,1996,1.1
CZE,1996,0.7
DNK,1996,1.9
EST,1996,1.2
FIN,1996,1.9
FRA,1996,1.0
DEU,1996,1.0
GRC,1996,..
HUN,1996,0.7
ISL,1996,0.9
IRL,1996,1.2
ISR,1996,..
ITA,1996,0.7
JPN,1996,..
KOR,1996,..
LTU,1996,0.9
LUX,1996,0.1
MEX,1996,..
NLD,1996,1.3
NZL,1996,1.7
NOR,1996,1.9
POL,1996,0.7
PRT,1996,0.9
SVK,1996,0.6
SVN,1996,..
ESP,1996,0.9
SWE,1996,1.9
CHE,1996,1.0
TUR,1996,..
GBR,1996,1.0
USA,1996,..
LVA,1996,0.7
,1996,
AUS,1997,..
AUT,1997,..
BEL,1997,..
CAN,1997,..
CHL,1997,0.5
COL,1997,..
CRI,1997,..
CZE,1997,..
DNK,1997,..
EST,1997,1.2
FIN,1997,..
FRA,1997,..
DEU,1997,..
GRC,1997,..
HUN,1997,..
ISL,1997,..
IRL,1997,..
ISR,1997,..
ITA,1997,..
JPN,1997,..
KOR,1997,..
LTU,1997,1.1
LUX,1997,..
MEX,1997,..
NLD,1997,..
NZL,1997,1.7
NOR,1997,1.9
POL,1997,..
PRT,1997,..
SVK,1997,0.7
SVN,1997,..
ESP,1997,..
SWE,1997,..
CHE,1997,..
TUR,1997,..
GBR,1997,..
USA,1997,..
LVA,1997,0.8
,1997,
AUS,1998,..
AUT,1998,1.6
BEL,1998,..
CAN,1998,1.7
CHL,1998,0.6
COL,1998,0.8
CRI,1998,..
CZE,1998,0.7
DNK,1998,2.1
EST,1998,1.0
FIN,1998,..
FRA,1998,..
DEU,1998,1.0
GRC,1998,0.9
HUN,1998,0.9
ISL,1998,..
IRL,1998,1.1
ISR,1998,1.2
ITA,1998,0.7
JPN,1998,0.4
KOR,1998,0.4
LTU,1998,..
LUX,1998,..
MEX,1998,0.7
NLD,1998,1.3
NZL,1998,..
NOR,1998,1.9
POL,1998,1.1
PRT,1998,..
SVK,1998,..
SVN,1998,..
ESP,1998,0.8
SWE,1998,1.8
CHE,1998,1.0
TUR,1998,..
GBR,1998,0.9
USA,1998,..
LVA,1998,0.9
,1998,
AUS,1999,..
AUT,1999,1.6
BEL,1999,..
CAN,1999,..
CHL,1999,..
COL,1999,0.8
CRI,1999,0.9
CZE,1999,0.7
DNK,1999,2.3
EST,1999,1.1
FIN,1999,2.0
FRA,1999,..
DEU,1999,..
GRC,1999,0.9
HUN,1999,0.9
ISL,1999,1.2
IRL,1999,1.1
ISR,1999,1.2
ITA,1999,0.8
JPN,1999,0.5
KOR,1999,0.5
LTU,1999,..
LUX,1999,..
MEX,1999,0.7
NLD,1999,..
NZL,1999,..
NOR,1999,1.9
POL,1999,0.8
PRT,1999,0.9
SVK,1999,0.7
SVN,1999,..
ESP,1999,0.9
SWE,1999,1.8
CHE,1999,1.1
TUR,1999,0.8
GBR,1999,0.8
USA,1999,..
LVA,1999,0.9
,1999,
AUS,2000,1.1
AUT,2000,1.4
BEL,2000,..
CAN,2000,..
CHL,2000,0.5
COL,2000,0.7
CRI,2000,0.9
CZE,2000,0.7
DNK,2000,2.4
