Country,Year,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
BEL,1979,104.07689,88.10342,25.64981
BEL,1980,104.03979,88.91199,25.11826
BEL,1981,103.48176,90.09132,24.48595
BEL,1982,102.84063,92.08065,26.41571
BEL,1983,99.70972,92.39892,27.14603
BEL,1984,98.88648,95.30458,28.19136
BEL,1985,98.27522,97.74851,30.88914
BEL,1986,98.80319,99.4001,31.67756
BEL,1987,99.95233,99.75166,32.99661
BEL,1988,101.18807,100.67177,34.00875
BEL,1991,100.28592,101.67705,39.10773
BEL,2005,100.46234,159.89014,61.08548
BEL,2011,101.9468,156.63316,69.84253
BEL,2013,103.82197,160.91924,72.11549
BEL,2014,103.64806,162.29935,72.9974
BEL,1971,108.42098,81.94648,17.13532
BEL,1972,107.24074,83.66768,17.54559
BEL,1973,101.25906,84.21455,19.51744
BEL,1989,101.55944,101.08852,35.55628
BEL,1990,101.05853,101.38937,37.68367
BEL,1992,98.92967,102.74649,
BEL,1993,102.45771,141.39992,44.85169
BEL,1994,101.82412,144.50629,47.91451
BEL,1995,101.79541,146.5033,53.43437
BEL,1996,102.01518,146.36201,55.44696
BEL,1999,103.82362,141.85725,57.12717
BEL,2000,104.83442,144.87628,58.16906
BEL,2001,104.07656,153.80124,58.85634
BEL,2002,103.16723,155.90697,59.38278
BEL,2003,102.36091,158.63028,59.83446
BEL,2004,100.80021,153.40533,61.02287
BEL,2006,100.73419,161.01921,61.65359
BEL,2007,101.53422,159.51427,61.20013
BEL,2008,102.15756,158.74341,62.08624
BEL,2009,102.12756,156.63837,65.26769
BEL,2010,101.92424,156.86153,67.82901
BEL,2012,102.25605,157.79477,71.19202
BEL,2015,103.15581,163.93472,74.55976
BEL,2016,103.31777,161.03316,75.89064
BEL,2017,103.90557,158.54185,79.66173
BEL,2018,103.3507,155.96107,78.90117
BEL,2019,102.61951,156.08061,80.13817
BEL,2020,102.1535,151.57481,80.88875
BLZ,1992,113.81608,,
BLZ,1995,119.6816,67.20718,
BLZ,1996,123.12451,,
BLZ,1999,119.06751,64.13491,
BLZ,2000,115.91097,67.98631,
BLZ,2001,112.40404,70.59147,14.66573
BLZ,2003,111.15116,76.94431,15.83844
BLZ,2004,112.8524,78.25525,15.40245
BLZ,2005,113.27096,76.46658,16.02117
BLZ,2006,113.68493,76.66667,17.01988
BLZ,2007,113.11683,75.31014,18.18182
BLZ,2008,112.33202,74.79151,19.09912
BLZ,2009,113.02994,74.39433,22.41008
BLZ,2010,112.56975,75.30958,21.86788
BLZ,2011,111.40164,75.95183,21.90514
BLZ,2012,113.78447,78.31773,24.32075
BLZ,2013,111.95749,80.07403,24.16824
BLZ,2014,111.55274,79.76219,24.00411
BLZ,2015,112.88833,80.65795,23.25367
BLZ,2016,114.48416,87.0061,24.21411
BLZ,2017,113.23061,84.04008,24.65664
BLZ,2018,111.69688,85.37246,24.54084
BLZ,2019,110.49031,86.38567,24.9911
BLZ,2020,107.6851,85.24632,25.60012
BLZ,1971,113.39387,,1.03272
BLZ,1972,111.36384,,0.84559
BLZ,1973,111.06527,,
BLZ,1974,110.56518,,0.89547
BLZ,1976,107.26137,,
BLZ,1977,108.47028,,
BLZ,1978,108.95895,,
BLZ,1980,109.262,54.21937,
BLZ,1981,106.81453,53.01935,
BLZ,1982,107.59489,52.45796,
BLZ,1983,108.53522,,
BLZ,1984,113.29095,,
BLZ,1985,113.81045,,
BLZ,1986,112.52462,57.82928,
BLZ,1987,113.92671,60.5806,
BLZ,1988,113.10331,,
BLZ,1989,111.55567,,
BLZ,1990,112.7353,,
BLZ,1991,114.74137,60.75178,
BLZ,1993,115.06528,,
BLZ,1994,117.84656,68.38515,
BLZ,1997,122.29799,,
BLZ,2002,107.26702,,16.50701
BLZ,2021,102.56177,88.22727,23.22977
BLZ,1975,,,0.94171
BEN,1971,34.7633,4.31045,0.12877
BEN,1972,37.6952,5.20689,0.23621
BEN,1973,41.48698,6.41517,0.4305
BEN,1974,39.68721,7.17119,0.70971
BEN,1975,46.1922,8.33323,0.68632
BEN,1976,47.99075,8.67385,0.74316
BEN,1977,49.98651,9.2549,0.98976
BEN,1978,50.80705,10.13948,1.09576
BEN,1979,56.85902,10.90759,0.97329
BEN,1980,58.25693,12.41925,1.06028
BEN,1981,60.34757,15.45169,1.45707
BEN,1982,64.6779,18.48749,1.73175
BEN,1983,66.25,21.22417,1.87917
BEN,1984,64.19849,20.14872,1.94499
BEN,1985,64.3068,18.99198,2.01416
BEN,1986,62.36633,16.34088,2.41411
BEN,1987,62.69434,15.13245,2.29047
BEN,1988,61.62556,,2.22248
BEN,1989,61.09798,,2.36404
BEN,1990,51.25493,,2.15538
BEN,1991,58.21984,,2.46031
BEN,1992,61.4146,,2.31566
BEN,1993,66.49934,,2.09527
BEN,1994,66.89444,,2.14401
BEN,1995,70.24485,,2.14355
BEN,1996,72.65391,,2.11245
BEN,1997,76.38223,,2.562
BEN,1998,79.42969,,
BEN,2000,82.52927,21.83777,3.71153
BEN,2001,90.73641,23.67024,4.49685
BEN,2002,96.16322,25.66652,5.32183
BEN,2003,99.79704,27.03112,5.90655
BEN,2004,103.72226,28.8886,5.98285
BEN,2008,113.18831,,8.04726
BEN,2010,120.15201,,13.77512
BEN,2011,122.72604,49.12759,12.85589
BEN,2012,127.21515,,13.9552
BEN,2013,128.7361,55.96562,15.96484
BEN,2014,129.59567,56.23654,15.95352
BEN,2015,132.46684,58.84676,13.55343
BEN,2016,130.90228,59.04252,12.9494
BEN,2019,116.70859,,11.14138
BEN,2020,114.15109,47.50183,11.08936
BEN,2006,101.2934,,6.81086
BEN,2018,121.95825,,12.51699
BEN,1999,79.58431,21.00429,3.26562
BEN,2005,100.83883,,5.91417
BEN,2009,118.43397,,10.23199
BEN,2017,126.64611,,12.27414
BEN,2021,116.7145,47.90816,
BEN,2007,,,8.13719
BMU,1975,93.79151,80.08179,
BMU,2001,97.15909,77.20663,
BMU,2002,97.03557,76.41446,
BMU,2003,97.40467,77.40864,
BMU,2004,97.17172,79.44095,
BMU,2005,97.54098,78.70263,
BMU,2006,97.41774,75.1622,29.01057
BMU,2010,99.31172,77.37303,30.74873
BMU,2011,98.37067,76.69093,32.01658
BMU,2012,97.21005,76.49402,31.61019
BMU,2013,96.80601,77.01531,30.3114
BMU,2014,98.06266,76.77734,28.23649
BMU,2015,101.14634,76.95238,25.14212
BMU,1971,97.30718,80.015,
BMU,1972,95.19715,78.71224,
BMU,1973,92.78816,83.39796,
BMU,1974,93.22694,78.4751,
BMU,1976,96.78703,81.33536,
BMU,1977,98.20341,91.26756,
BMU,1978,98.95929,90.36186,
BMU,1979,92.79265,92.46046,7.48264
BMU,1980,93.72162,97.41995,9.67412
BMU,1981,93.12618,,10.28069
BMU,1982,92.84812,,
BMU,1983,92.20654,,
BMU,1984,90.81951,,
BMU,1985,91.3831,,
BMU,1995,100.81163,,
BMU,1997,113.2435,,
BMU,2007,,,25.9357
BMU,2008,,,26.22478
BMU,2009,,,32.91566
BMU,2017,,,17.83355
BMU,2018,,,19.02726
BTN,1976,29.08155,,
BTN,1977,31.56774,3.9081,
BTN,1978,31.67995,,0.40715
BTN,1979,35.43567,,0.74305
BTN,1988,57.14758,,
BTN,1993,55.74014,,
BTN,1994,58.60169,,
BTN,1998,71.38595,23.44052,
BTN,1999,73.23359,26.5031,2.67416
BTN,2000,76.17701,30.02343,
BTN,2001,78.63001,33.4106,
BTN,2004,87.9279,,
BTN,2005,91.05958,44.5511,5.039
BTN,2006,94.5556,47.40183,5.30335
BTN,2007,97.91548,51.40493,5.70472
BTN,2008,100.94379,54.71617,6.75873
BTN,2009,105.15424,59.5779,6.49166
BTN,2010,108.21445,63.56648,6.909412
BTN,2011,110.87698,67.24879,8.116292
BTN,2012,111.90103,71.69738,8.025342
BTN,2013,106.94311,75.61265,10.90072
BTN,2014,105.47682,82.71892,
BTN,2015,104.233765,84.01727,14.12414
BTN,2016,102.66068,85.34537,
BTN,2017,101.33414,87.8676,14.781611
BTN,2018,100.718025,90.09468,14.662447
BTN,2019,99.54377,,15.5683
BTN,2020,105.81169,,16.513134
BTN,1970,19.77726,2.33769,
BTN,1971,19.68002,2.67756,
BTN,1972,21.0491,3.20666,
BTN,1974,24.10251,5.05327,
BTN,1980,45.49314,,0.87942
BTN,1981,50.71481,,
BTN,1982,53.26612,9.31195,
BTN,1983,57.13497,10.81357,0.71989
BTN,1984,59.37852,11.57204,
BTN,1985,59.22606,11.58599,
BTN,1986,54.44314,,
BTN,1987,55.28853,,
BTN,1991,51.39156,,
BTN,1992,50.63327,,
BTN,1995,62.5536,,
BTN,1996,66.38708,,
BTN,1997,69.55833,,
BTN,2002,81.08417,,
BTN,2003,84.15406,,
BTN,2021,105.72499,,23.272131
BOL,2010,104.52044,88.70912,
BOL,2011,100.68689,86.0603,
BOL,2012,98.28176,88.13148,
BOL,2013,97.01457,89.89795,
BOL,2014,95.90289,90.38322,
BOL,2015,95.90844,91.36424,
BOL,2016,96.55513,91.4264,
BOL,2017,97.52736,90.29645,
BOL,2018,98.15092,89.72425,
BOL,2019,98.52799,89.98246,
BOL,2000,118.22122,72.90833,
BOL,2001,117.24152,75.85267,
BOL,2002,117.82004,80.58419,
BOL,2003,116.04538,83.3082,
BOL,2004,115.41665,86.09528,
BOL,2005,114.81316,87.01776,
BOL,2006,113.27957,86.16775,
BOL,2007,112.38876,85.63528,
BOL,2008,111.0085,85.01278,
BOL,2009,107.1726,83.46188,
BOL,1970,88.9309,27.07554,
BOL,1971,88.57391,28.9698,
BOL,1972,90.00284,32.01828,
