Country,Year,GDP per Capita,Population(Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
DNK,2009,40332.52,5.519441,18928.49,8.44888,2.3,25269.4115683377,81,99.56537,117.97562,74.28376,37.435608
DNK,2010,43006.15,5.543819,19552.1,8.55955,2.3,27066.7323754663,81,99.58201,119.49685,73.59667,37.608952
DNK,2011,44407.94,5.566856,21888.02,8.48486,2.4,27671.8631486807,81,100.78067,122.69902,76.75835,38.600784
DNK,2013,46742.94,5.608784,15697.53,8.49443,2.3,29302.6636572859,81,101.54556,129.33804,80.93104,40.929459
DNK,2014,47905.48,5.639719,15626.23,7.63485,2.3,29543.8327968615,81,101.29423,129.32817,81.02908,42.130608
DNK,2017,55356.49,5.760694,20178.83,7.75244,2.5,33441.2777459902,81,101.26809,129.07748,80.61602,45.537395
ESP,2008,33242.25,45.983169,13075.95,4.52806,1.0,23317.348625525,276,104.6608,115.52629,69.74542,40.047447
ESP,2009,32089.53,46.36755,13254.87,4.912,1.1,22991.2041823045,276,104.58888,115.02879,71.58433,39.458729
ESP,2010,31690.89,46.562483,13191.53,4.85608,1.1,22897.5511488067,276,103.97558,119.11595,75.91095,40.312317
ESP,2011,31872.36,46.736257,13024.6,4.89692,1.1,22982.971416413,276,104.55565,120.93325,80.03797,40.311493
ESP,2012,31724.79,46.766403,12083.02,4.46934,1.0,22402.2051335687,276,105.24018,122.83753,82.27033,40.386406
ESP,2013,32463.12,46.593236,12699.14,4.35102,1.0,23021.399352256,276,108.19378,123.1873,83.72564,41.089592
ESP,2014,33558.98,46.455123,12524.1,4.30338,1.0,23479.1030734388,276,107.15204,123.37487,85.44627,41.477402
ESP,2015,34945.48,46.410149,12663.99,4.28657,1.0,24640.7765484176,276,106.36399,124.96066,85.61178,40.959778
ESP,2016,37333.06,46.449874,12866.65,4.22764,0.9,26018.3906627201,276,104.21417,126.19046,86.51608,40.980919
ESP,2017,39601.48,46.532869,13430.39,4.20778,0.9,27136.4617871495,276,102.71029,126.0045,88.85301,42.644691
EST,2008,22780.01,1.33709,5842.527,5.48404,1.1,15100.4988501364,31,101.61071,102.26793,66.44184,35.746883
EST,2009,20459.91,1.334515,4656.186,5.96005,1.3,14353.0411603165,31,103.06117,102.73762,66.63192,36.644875
EST,2010,21588.77,1.331475,6749.938,5.51779,1.2,14690.8505453895,31,103.03214,105.28926,68.18451,38.010132
EST,2011,24515.49,1.327439,8059.716,5.01449,1.2,15645.2209917286,31,101.71394,107.36883,70.36909,38.927837
EST,2012,25946.94,1.322696,8489.831,4.71772,1.0,16236.751515705,31,100.95449,107.81157,72.37507,40.079975
EST,2013,27418.69,1.317997,11797.95,4.84388,1.4,17465.7408318809,31,99.56826,108.16742,73.92123,40.439819
EST,2014,28917.83,1.314545,11964.51,4.39433,1.4,18319.1519276539,31,98.00723,108.4099,73.30776,40.421608
EST,2015,29222.75,1.314608,12905.99,5.14419,1.4,19321.3291478592,31,97.14641,111.04143,72.16762,40.508533
EST,2016,31310.15,1.31579,13042.96,5.15764,1.4,20727.3170053457,31,97.1178,115.01412,71.39045,41.048111
EST,2017,33867.8,1.317384,14523.48,4.96132,1.1,21826.4676290509,31,97.23017,116.87475,69.04592,43.041157
FIN,2008,40083.7,5.313398,15525.89,5.8301,1.8,25978.2415448409,42,98.97755,108.60678,94.69184,38.289055
FIN,2009,37972.46,5.338867,16731.92,6.45956,2.1,26334.7298434393,42,99.21357,107.47555,91.29066,39.388084
FIN,2010,38954.13,5.363341,17172.83,6.50445,2.1,27630.5537928286,42,99.48232,107.58606,93.44781,39.207012
FIN,2011,40916.65,5.388272,18181.89,6.44505,2.1,28489.4495067786,42,99.75524,108.09777,94.91993,39.377258
FIN,2012,40872.85,5.413967,18045.93,7.14804,2.0,29373.983871873,42,100.34098,108.24276,92.87735,39.749657
FIN,2013,41492.92,5.438975,18017.69,7.12404,2.0,30093.2105440337,42,100.34415,144.28612,90.99419,39.992779
FIN,2014,41749.86,5.461507,17874.63,7.10237,2.0,30263.2133645628,42,100.62072,146.42757,88.88166,40.308151
FIN,2015,42490.21,5.479528,17619.86,7.03208,1.9,30849.1223441098,42,100.56079,150.01987,87.67987,40.524899
FIN,2016,44934.49,5.495297,17903.9,6.85153,1.8,32273.2230052653,42,100.41884,152.16286,86.97852,41.13372
FIN,2017,47570.27,5.508209,17726.42,6.36311,1.7,33377.1258240619,42,100.15464,153.96358,88.19783,41.253643
FRA,2017,44444.93,66.883314,16870.73,5.4516,1.2,34316.3133231532,625,102.41722,103.75608,65.80223,44.34428
GBR,2013,39968.1,64.105654,25613.55,5.50078,1.3,29252.6844068104,337,107.112,123.77629,57.03876,48.31358
GBR,2014,41281.54,64.596752,24345.55,5.56451,1.4,29726.9653840956,337,102.25555,126.3899,56.5645,49.185982
GBR,2015,42500.91,65.110034,26506.35,5.51411,1.3,30915.3038284633,337,101.92527,124.524,56.45849,49.943413
GBR,2017,46061.35,66.040229,28042.59,5.38499,1.4,32417.6286543526,337,101.15456,125.85187,59.99557,51.624851
GRC,2017,28604.83,10.754679,3300.047,3.47709,0.6,20670.2957565597,66,99.55348,104.49627,136.60257,42.479965
HUN,2012,23267.45,9.920364,9039.39,4.14112,0.8,16531.7521255845,69,99.69793,98.06066,61.46318,30.430923
HUN,2013,24547.98,9.893083,10373.97,4.18773,0.9,17193.9172733869,69,99.98496,104.71535,57.06502,30.876373
HUN,2014,25691.53,9.866466,8647.33,4.6004,0.8,17543.0656817193,69,101.85692,104.18991,52.01587,32.109055
HUN,2015,26798.85,9.843025,8815.057,4.4941,0.6,17974.1857660738,69,102.32512,103.03062,48.96214,32.12635
HUN,2016,27941.93,9.814026,11508.38,4.61454,0.7,18933.3220072533,69,101.87881,102.71395,48.03886,30.400248
HUN,2017,29496.16,9.787969,12719.93,4.6141,0.8,19791.3476692934,69,100.80547,103.48996,48.50038,30.162258
IRL,2011,45132.18,4.574888,16259.33,5.82904,1.3,24627.0603862338,71,103.37868,115.83373,67.79859,47.42931
IRL,2012,46304.78,4.593697,15621.69,5.75269,1.2,25361.1710239569,71,102.11834,117.75219,68.19725,49.205013
IRL,2014,51296.93,4.64544,13701.82,4.8785,1.0,24714.5568262461,71,101.54224,116.7391,73.81323,50.768299
IRL,2015,69305.54,4.687787,16538.72,3.75877,0.9,25600.0521262605,71,101.18464,116.98987,77.23215,52.004166
IRL,2016,71505.75,4.739597,16789.72,3.74212,0.7,27110.9970518298,71,101.34149,117.02872,77.55714,53.430691
IRL,2017,78252.21,4.79249,16724.26,3.50929,1.0,28262.878069452,71,100.85278,125.30712,77.78062,53.473541
ITA,2008,35292.6,59.211183,9588.23,4.38795,0.8,27278.6877676168,289,104.2742,101.10097,66.3436,19.90484
ITA,2009,34335.93,59.555456,9775.04,4.52372,0.8,26562.2675926709,289,103.4859,101.41655,66.54997,20.160688
